#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B9D810
#Date Time: 2024-01-17 20:01:52.326
#Start: 1 Hz
#Stop: 10000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 2.1613 V
#Offset: 3.34838e-06 V
#Relative: yes
#Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
1,0.05939936232135234,179.980009543559
1.0471285480509,0.05662073182742654,179.9439170133858
1.096478196143185,0.06213659121234256,179.935949723516
1.148153621496883,0.0601342724135389,179.9455200112961
1.202264434617413,0.05891149111515756,179.9489107511788
1.258925411794168,0.05818017304602506,179.9472062241046
1.318256738556407,0.05887087554443157,179.9466010558524
1.380384264602885,0.05900234940569492,179.939359886791
1.445439770745928,0.05963076016840422,179.9382304048449
1.513561248436209,0.05835912563738496,179.923898732122
1.584893192461114,0.05767003861923936,179.932965409736
1.659586907437562,0.06105683609434007,179.9186688436453
1.737800828749376,0.05969923397424737,179.919448993317
1.819700858609983,0.05789646964770451,179.9155958108949
1.905460717963248,0.06233424984566415,179.9238672906945
1.995262314968879,0.06021246100660092,179.9061968143915
2.089296130854039,0.05714608608785747,179.8921997695244
2.187761623949552,0.06009603101805534,179.8983774813948
2.290867652767772,0.06244349666969164,179.8809167091773
2.39883291901949,0.06139321392727853,179.8900920882571
2.51188643150958,0.06056997064182955,179.87851367727
2.630267991895381,0.06102571871943796,179.8842264672789
2.754228703338166,0.05611227232001469,179.8457638954099
2.884031503126606,0.06049774840055684,179.8645461854447
3.019951720402016,0.06232314038141133,179.8644139957736
3.16227766016838,0.06566840794202151,179.8719077533182
3.311311214825911,0.06036160437754617,179.8274213881304
3.467368504525317,0.06141857201514039,179.8377956293228
3.630780547701014,0.06284926921838767,179.8338175899082
3.801893963205612,0.06374789195015007,179.8781502208556
3.981071705534974,0.06392305495831574,179.8098830560383
4.168693834703355,0.06460700058021454,179.8109220511903
4.365158322401661,0.06364992404931039,179.809177040227
4.570881896148752,0.06959426938456589,179.7145682849056
4.786300923226386,0.06585570271099742,179.7784624588154
5.011872336272726,0.07271174393240143,179.7102020692757
5.248074602497723,0.06653611207394564,179.7461611690673
5.495408738576248,0.06690373417300384,179.7495186682723
5.754399373371567,0.07683504464991012,179.6890605679985
6.025595860743581,0.07474081248926777,179.7551316772849
6.30957344480193,0.07062928319768892,179.7032121518945
6.606934480075958,0.07301335344067243,179.7003495434971
6.918309709189362,0.08377428953264535,179.6982860315602
7.244359600749898,0.07406736951098158,179.6647467075748
7.585775750291836,0.08002990312945685,179.6506410122633
7.943282347242813,0.08051874946872387,179.617372627861
8.317637711026709,0.07957421510838023,179.6417901391046
8.709635899560805,0.08366320458558403,179.7096880866551
9.120108393559097,0.09631774723681588,179.5025925062809
9.549925860214358,0.07781651889734813,179.4640843169449
